Label,Area,Mean,Perim,Circ,AR,Round,Solidity,type
"LN229_Hipoksja_15_48h_większa_konfluencja_po_obrobieniu,jpg",1041,138.1585,171.97705,0.4423,3.39038,0.29495,0.82619,LN229
"LN229_Hipoksja_15_48h_większa_konfluencja_po_obrobieniu,jpg",3602,153.5347,334.31152,0.405,2.14066,0.46715,0.6399,LN229
"LN229_Hipoksja_15_48h_większa_konfluencja_po_obrobieniu,jpg",4173,150.40307,251.59585,0.82842,1.29437,0.77258,0.93586,LN229
"LN229_Hipoksja_15_48h_większa_konfluencja_po_obrobieniu,jpg",2777,167.8718,239.69598,0.60739,1.63467,0.61174,0.88836,LN229
"LN229_Normoksja_19_48h_większa_konfluencja_po_obrobieniu,jpg",1076,127.579,133.07004,0.76359,1.60765,0.62202,0.93769,LN229
"LN229_Normoksja_19_48h_większa_konfluencja_po_obrobieniu,jpg",1190,132.27563,138.67923,0.77756,1.28204,0.78,0.9232,LN229
"LN229_Normoksja_19_48h_większa_konfluencja_po_obrobieniu,jpg",2823,134.33192,209.47452,0.80846,1.63109,0.61309,0.94732,LN229
"LN229_Normoksja_19_48h_większa_konfluencja_po_obrobieniu,jpg",1676,133.65274,199.6089,0.5286,1.80583,0.55376,0.83695,LN229
"LN229_Normoksja_19_48h_większa_konfluencja_po_obrobieniu,jpg",1141,128.44522,158.0308,0.57413,2.88224,0.34695,0.87702,LN229
"LN229_Normoksja_19_48h_większa_konfluencja_po_obrobieniu,jpg",991,127.57921,184.92497,0.36416,2.30813,0.43325,0.66667,LN229
"LN229_Normoksja_19_48h_większa_konfluencja_po_obrobieniu,jpg",1573,131.41132,150.27096,0.87536,1.28779,0.77652,0.95856,LN229
"LN229_Normoksja_19_48h_większa_konfluencja_po_obrobieniu,jpg",1279,130.06333,203.93234,0.38646,3.50251,0.28551,0.7604,LN229
"LN229_Normoksja_19_48h_większa_konfluencja_po_obrobieniu,jpg",1177,129.09601,205.31984,0.35085,4.74273,0.21085,0.77613,LN229
"LN229_Normoksja_19_48h_większa_konfluencja_po_obrobieniu,jpg",3412,137.06565,225.74905,0.84133,1.08927,0.91805,0.9339,LN229
"LN229_Normoksja_19_48h_większa_konfluencja_po_obrobieniu,jpg",1093,133.51876,132.56641,0.78156,1.34863,0.74149,0.89848,LN229
"LN229_Normoksja_19_48h_większa_konfluencja_po_obrobieniu,jpg",2524,127.24683,236.3453,0.56781,1.98513,0.50375,0.85487,LN229
"LN229_Normoksja_19_48h_większa_konfluencja_po_obrobieniu,jpg",1265,127.67668,153.81016,0.67194,2.07282,0.48243,0.90036,LN229
"LN229_Normoksja_19_48h_większa_konfluencja_po_obrobieniu,jpg",2616,123.16055,347.7102,0.2719,2.33833,0.42766,0.51294,LN229
"LN229_Normoksja_19_48h_większa_konfluencja_po_obrobieniu,jpg",1965,126.66158,180.95757,0.75408,1.126,0.8881,0.89829,LN229
"LN229_Normoksja_19_48h_większa_konfluencja_po_obrobieniu,jpg",1495,124.43278,159.0412,0.74273,1.57636,0.63437,0.90442,LN229
"LN229_Normoksja_19_48h_większa_konfluencja_po_obrobieniu,jpg",4935,120.05228,299.89284,0.68955,1.56985,0.637,0.90409,LN229
"LN229_Normoksja_19_48h_większa_konfluencja_po_obrobieniu,jpg",2378,123.48907,327.8612,0.278,6.65985,0.15015,0.73214,LN229
"LN229_Normoksja_19_48h_większa_konfluencja_po_obrobieniu,jpg",3765,123.12191,263.04459,0.68378,1.77196,0.56435,0.92597,LN229
"LN229_Normoksja_19_48h_większa_konfluencja_po_obrobieniu,jpg",2664,131.10661,218.08082,0.7039,1.82287,0.54859,0.93196,LN229
"LN229_Normoksja_19_48h_większa_konfluencja_po_obrobieniu,jpg",3406,126.58133,286.13081,0.52279,3.20056,0.31245,0.88238,LN229
"LN229_Normoksja_19_48h_większa_konfluencja_po_obrobieniu,jpg",4051,132.37793,285.65838,0.62385,1.87756,0.5326,0.8875,LN229
"LN229_Normoksja_19_48h_większa_konfluencja_po_obrobieniu,jpg",1698,130.08657,228.62203,0.40824,1.45319,0.68814,0.65257,LN229
"LN229_Normoksja_19_48h_większa_konfluencja_po_obrobieniu,jpg",1069,133.66511,161.22846,0.51678,1.90043,0.5262,0.84107,LN229
"LN229_Normoksja_19_48h_większa_konfluencja_po_obrobieniu,jpg",1368,127.53655,238.74625,0.30159,4.33444,0.23071,0.6779,LN229
"LN229_Normoksja_19_48h_większa_konfluencja_po_obrobieniu,jpg",1801,131.5658,218.32517,0.47481,2.63535,0.37946,0.82463,LN229
"LN229_Normoksja_19_48h_większa_konfluencja_po_obrobieniu,jpg",2061,133.05095,198.35245,0.65828,1.25206,0.79868,0.86126,LN229
"LN229_Normoksja_19_48h_większa_konfluencja_po_obrobieniu,jpg",2709,131.22148,226.02981,0.66633,1.51782,0.65884,0.85122,LN229
"LN229_Normoksja_19_48h_większa_konfluencja_po_obrobieniu,jpg",1476,129.53388,201.60196,0.45636,1.77499,0.56338,0.74696,LN229
"LN229_Normoksja_19_48h_większa_konfluencja_po_obrobieniu,jpg",2913,135.276,216.6501,0.77989,1.2022,0.83181,0.9341,LN229
"LN229_Normoksja_19_48h_większa_konfluencja_po_obrobieniu,jpg",2493,121.36783,250.7925,0.49808,2.03575,0.49122,0.79294,LN229
"LN229_Normoksja_19_48h_większa_konfluencja_po_obrobieniu,jpg",2243,130.91395,187.24035,0.80397,1.07829,0.92739,0.91851,LN229
"LN229_Normoksja_19_48h_większa_konfluencja_po_obrobieniu,jpg",2028,127.76134,222.80462,0.51337,1.81596,0.55067,0.79764,LN229
"LN229_Normoksja_19_48h_większa_konfluencja_po_obrobieniu,jpg",1485,126.05993,150.05537,0.82877,1.26757,0.78891,0.92726,LN229
"LN229_Normoksja_19_48h_większa_konfluencja_po_obrobieniu,jpg",1155,128.25541,159.25534,0.57227,1.44037,0.69427,0.84245,LN229
"LN229_Normoksja_19_48h_większa_konfluencja_po_obrobieniu,jpg",2782,129.72646,205.22298,0.83007,1.11415,0.89754,0.93591,LN229
"LN229_Normoksja_19_48h_większa_konfluencja_po_obrobieniu,jpg",2819,125.58496,222.98666,0.71244,1.61347,0.61978,0.90862,LN229
"LN229_Normoksja_19_48h_większa_konfluencja_po_obrobieniu,jpg",4486,126.97659,294.98389,0.64785,1.73929,0.57495,0.82206,LN229
"LN229_Normoksja_19_48h_większa_konfluencja_po_obrobieniu,jpg",2280,124.55439,186.45703,0.82411,1.19751,0.83507,0.93596,LN229
"LN229_Normoksja_19_48h_większa_konfluencja_po_obrobieniu,jpg",1672,121.89833,221.35639,0.42881,2.36828,0.42225,0.78998,LN229
"LN229_Normoksja_19_48h_większa_konfluencja_po_obrobieniu,jpg",3008,126.02194,214.17414,0.82405,1.09876,0.91012,0.94236,LN229
"LN229_Normoksja_19_48h_większa_konfluencja_po_obrobieniu,jpg",2946,124.44365,244.79405,0.61779,2.02565,0.49367,0.88508,LN229
"LN229_Normoksja_19_48h_większa_konfluencja_po_obrobieniu,jpg",3072,134.64844,217.94799,0.81269,1.2445,0.80354,0.93161,LN229
"LN229_Normoksja_19_48h_większa_konfluencja_po_obrobieniu,jpg",1392,127.50287,192.8748,0.47022,1.91614,0.52188,0.74658,LN229
"LN229_Normoksja_19_48h_większa_konfluencja_po_obrobieniu,jpg",3059,132.18568,213.46245,0.84362,1.10969,0.90115,0.94486,LN229
"LN229_Normoksja_19_48h_większa_konfluencja_po_obrobieniu,jpg",2127,125.33474,221.92486,0.54271,2.62837,0.38046,0.85766,LN229
"LN229_Normoksja_19_48h_większa_konfluencja_po_obrobieniu,jpg",2691,124.64177,246.67134,0.55576,1.36522,0.73248,0.80593,LN229
"LN229_Normoksja_19_48h_większa_konfluencja_po_obrobieniu,jpg",1965,124.96336,209.10268,0.56475,1.6094,0.62135,0.79894,LN229
"LN229_Normoksja_19_48h_większa_konfluencja_po_obrobieniu,jpg",1836,124.44662,198.57171,0.58512,1.86907,0.53503,0.85177,LN229
"LN229_Normoksja_19_48h_większa_konfluencja_po_obrobieniu,jpg",1798,123.39266,167.36608,0.80661,1.43723,0.69578,0.93427,LN229
"LN229_Normoksja_19_48h_większa_konfluencja_po_obrobieniu,jpg",1338,121.10314,201.61971,0.41362,3.09748,0.32284,0.73175,LN229
"PAN_02_5_normoksja_zdjecie_obrobione,tif",752,138.91356,125.14367,0.60341,2.84441,0.35157,0.85309,PANC-2
"PAN_02_5_normoksja_zdjecie_obrobione,tif",968,149.66322,203.38862,0.29406,3.8553,0.25938,0.68799,PANC-2
